# request	time	s1_time	s2_time	s3_time	s1_assignment	s2_assignment	s3_assignment
1	96	5288	5669	8088	33.333	33.333	33.333
2	4853	4233	4520	8088	33.333	33.333	33.333
3	9673	3882	4137	6376	33.333	33.333	33.333
4	14176	3718	3934	5831	33.333	33.333	33.333
5	18974	3606	3806	5263	33.333	33.333	33.333
6	23486	3185	3334	5263	33.333	33.333	33.333
7	28288	3183	3330	4536	33.333	33.333	33.333
8	32812	3173	3320	4536	33.333	33.333	33.333
9	37613	3159	3330	4503	33.333	33.333	33.333
10	42119	3158	3334	4503	33.333	33.333	33.333
11	46625	3155	3336	4517	33.333	33.333	33.333
12	51131	3155	3331	4519	33.333	33.333	33.333
13	55633	3162	3345	4468	33.333	33.333	33.333
14	60443	3163	3331	4434	33.333	33.333	33.333
15	64962	3161	3337	4434	33.333	33.333	33.333
16	69456	3158	3333	4434	33.333	33.333	33.333
17	74251	3154	3332	4419	33.333	33.333	33.333
18	78761	3146	3321	4454	33.333	33.333	33.333
19	83272	3142	3342	4453	33.333	33.333	33.333
20	87774	3147	3329	4437	33.333	33.333	33.333
21	92279	3144	3328	4442	33.333	33.333	33.333
22	97084	3141	3327	4423	33.333	33.333	33.333
23	101588	3141	3327	4423	33.333	33.333	33.333
24	106089	3141	3320	4434	33.333	33.333	33.333
25	110602	3134	3323	4438	33.333	33.333	33.333
26	115414	3134	3343	4436	33.333	33.333	33.333
27	119919	3133	3341	4421	33.333	33.333	33.333
28	124426	3132	3335	4418	33.333	33.333	33.333
29	128933	3132	3321	4418	33.333	33.333	33.333
30	133437	3133	3326	4414	33.333	33.333	33.333
31	137942	3131	3326	4401	33.333	33.333	33.333
32	142447	3131	3343	4385	33.333	33.333	33.333
33	146969	3134	3347	4397	33.333	33.333	33.333
34	151461	3132	3346	4397	33.333	33.333	33.333
35	156264	3131	3346	4414	33.333	33.333	33.333
36	160771	3134	3329	4418	33.333	33.333	33.333
37	165275	3138	3312	4405	33.333	33.333	33.333
38	169782	3137	3306	4405	33.333	33.333	33.333
39	174287	3137	3302	4421	33.333	33.333	33.333
40	178908	3139	3297	4417	33.333	33.333	33.333
41	183597	3131	3297	4420	33.333	33.333	33.333
42	188104	3131	3296	4420	33.333	33.333	33.333
43	192609	3129	3298	4422	33.333	33.333	33.333
44	197116	3130	3303	4405	33.333	33.333	33.333
45	201637	3130	3298	4408	33.333	33.333	33.333
46	206129	3141	3292	4408	37.500	35.779	26.721
47	210932	3140	3292	4424	37.500	35.779	26.721
48	214533	3222	3338	4424	37.500	35.779	26.721
49	218143	3222	3338	4243	37.500	35.779	26.721
50	221750	3303	3382	4059	37.500	35.779	26.721
51	225354	3377	3433	3882	37.500	35.779	26.721
52	229254	3524	3534	3516	37.515	35.693	26.793
53	232860	3524	3534	3516	37.515	35.693	26.793
54	236475	3524	3538	3517	37.515	35.693	26.793
55	240363	3526	3531	3532	37.515	35.693	26.793
56	243971	3529	3526	3532	37.515	35.693	26.793
57	247575	3529	3522	3530	37.515	35.693	26.793
58	251182	3533	3522	3544	37.504	35.794	26.702
59	254784	3533	3516	3548	37.504	35.794	26.702
60	258688	3532	3522	3535	37.504	35.794	26.702
61	262293	3530	3521	3535	37.504	35.794	26.702
62	265889	3530	3521	3537	37.504	35.794	26.702
63	269500	3524	3518	3528	37.504	35.794	26.702
64	273403	3517	3522	3535	37.574	35.810	26.616
65	277007	3514	3524	3535	37.574	35.810	26.616
66	280612	3514	3524	3535	37.574	35.810	26.616
67	284216	3513	3530	3535	37.574	35.810	26.616
68	288115	3523	3531	3550	37.574	35.810	26.616
69	291721	3522	3533	3537	37.574	35.810	26.616
70	295327	3522	3533	3537	37.659	35.779	26.562
71	298931	3522	3534	3541	37.659	35.779	26.562
72	302535	3522	3527	3530	37.659	35.779	26.562
73	306433	3523	3527	3503	37.659	35.779	26.562
74	310041	3523	3527	3503	37.659	35.779	26.562
75	313642	3531	3527	3508	37.659	35.779	26.562
76	317251	3534	3523	3495	37.506	35.745	26.750
77	320854	3540	3528	3509	37.506	35.745	26.750
78	324754	3535	3532	3510	37.506	35.745	26.750
79	328357	3535	3532	3510	37.506	35.745	26.750
80	331970	3532	3531	3516	37.506	35.745	26.750
81	335571	3526	3533	3520	37.506	35.745	26.750
82	339190	3523	3528	3515	37.502	35.690	26.808
83	343086	3524	3526	3525	37.502	35.690	26.808
84	346686	3524	3526	3525	37.502	35.690	26.808
85	350282	3525	3530	3523	37.502	35.690	26.808
86	353890	3528	3524	3529	37.502	35.690	26.808
87	357491	3527	3524	3528	37.502	35.690	26.808
88	361393	3531	3518	3533	37.458	35.781	26.761
89	365007	3531	3518	3538	37.458	35.781	26.761
90	368607	3529	3513	3175	37.458	35.781	26.761
91	372221	3530	3518	2734	37.458	35.781	26.761
92	376109	3532	3526	2272	37.458	35.781	26.761
93	379723	3532	3526	1818	37.458	35.781	26.761
94	383319	3532	3532	1384	26.466	25.280	48.254
95	386921	3534	3532	1299	26.466	25.280	48.254
96	389626	3534	3525	1468	26.466	25.280	48.254
97	392331	3126	3107	1650	26.466	25.280	48.254
98	395032	2924	2898	1822	26.466	25.280	48.254
99	397438	2924	2898	1979	26.466	25.280	48.254
100	400139	2722	2692	2152	23.408	22.609	53.983
101	402843	2517	2494	2153	23.408	22.609	53.983
102	405251	2518	2445	2153	23.408	22.609	53.983
103	408552	2406	2392	2373	23.408	22.609	53.983
104	410970	2348	2342	2373	23.408	22.609	53.983
105	413960	2293	2286	2429	23.408	22.609	53.983
106	416963	2236	2232	2689	25.738	24.904	49.358
107	419370	2232	2234	2689	25.738	24.904	49.358
108	422069	2232	2234	2530	25.738	24.904	49.358
109	424477	2269	2278	2488	25.738	24.904	49.358
110	427189	2311	2322	2488	25.738	24.904	49.358
111	429882	2353	2411	2402	25.738	24.904	49.358
112	432586	2442	2460	2385	25.484	24.478	50.038
113	435285	2446	2459	2453	25.484	24.478	50.038
114	437691	2446	2459	2453	25.484	24.478	50.038
115	440396	2438	2441	2490	25.484	24.478	50.038
116	443101	2431	2430	2513	25.484	24.478	50.038
117	445804	2431	2430	2534	25.484	24.478	50.038
118	448508	2429	2422	2551	26.090	25.132	48.778
119	451210	2419	2420	2559	26.090	25.132	48.778
120	454209	2440	2447	2596	26.090	25.132	48.778
121	456617	2440	2447	2497	26.090	25.132	48.778
122	459318	2448	2461	2417	26.090	25.132	48.778
123	462020	2460	2470	2336	26.090	25.132	48.778
124	464734	2475	2483	2358	25.494	24.479	50.028
125	467436	2470	2485	2328	25.494	24.479	50.028
126	469844	2470	2485	2341	25.494	24.479	50.028
127	472543	2460	2470	2357	25.494	24.479	50.028
128	474952	2451	2457	2357	25.494	24.479	50.028
129	477652	2436	2436	2414	25.494	24.479	50.028
130	480354	2416	2413	2348	25.122	24.152	50.726
131	482754	2416	2413	2351	25.122	24.152	50.726
132	485461	2404	2411	2392	25.122	24.152	50.726
133	488164	2402	2405	2392	25.122	24.152	50.726
134	490869	2392	2404	2393	25.122	24.152	50.726
135	493572	2390	2395	2445	25.122	24.152	50.726
136	496277	2385	2388	2445	25.447	24.433	50.121
137	498983	2392	2386	2532	25.447	24.433	50.121
138	501688	2392	2386	2579	25.447	24.433	50.121
139	504388	2401	2393	2558	25.447	24.433	50.121
140	506795	2411	2395	2491	25.447	24.433	50.121
141	509494	2414	2400	2434	25.447	24.433	50.121
142	512196	2426	2415	2434	25.460	24.557	49.982
143	515203	2419	2415	2428	25.460	24.557	49.982
144	517908	2414	2415	2482	25.460	24.557	49.982
145	520909	2412	2424	2657	25.460	24.557	49.982
146	523614	2409	2425	2684	25.460	24.557	49.982
147	526331	2406	2423	2669	25.460	24.557	49.982
148	528727	2406	2423	2546	26.226	25.119	48.655
149	531435	2411	2426	2484	26.226	25.119	48.655
150	533843	2427	2421	2484	26.226	25.119	48.655
151	536546	2427	2436	2375	26.226	25.119	48.655
152	539247	2459	2451	2341	26.226	25.119	48.655
153	541951	2473	2478	2353	26.226	25.119	48.655
154	544358	2473	2478	2353	25.604	24.473	49.923
155	547055	2487	2485	2304	25.604	24.473	49.923
156	549769	2486	2210	2086	25.604	24.473	49.923
157	552167	2486	1881	1864	25.604	24.473	49.923
158	554570	2469	1543	1647	25.604	24.473	49.923
159	557268	2458	1218	1426	25.604	24.473	49.923
160	559678	2451	888	1283	13.581	35.831	50.588
161	561183	2439	888	1270	13.581	35.831	50.588
162	562685	2205	903	1248	13.581	35.831	50.588
163	564181	1986	976	1268	13.581	35.831	50.588
164	565683	1767	1052	1259	13.581	35.831	50.588
165	567186	1324	1127	1266	13.581	35.831	50.588
166	568393	1324	1127	1266	12.508	38.767	48.725
167	569898	1325	1207	1271	12.508	38.767	48.725
