Cracker Component URL: SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/logback-classic-1.1.2.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/user/mibanez/memoria/programming-multiactivities/dist/lib/slf4j-log4j12-1.5.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
16:41:23,259 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs multiple times on the classpath.
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,260 |-WARN in ch.qos.logback.classic.LoggerContext[default] - Resource [logback.xml] occurs at [jar:file:/user/mibanez/memoria/autonomic-component-system/examples/target/lib/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml]
16:41:23,274 |-INFO in ch.qos.logback.core.joran.spi.ConfigurationWatchList@6df3d1f5 - URL [jar:file:/user/mibanez/memoria/autonomic-component-system/core/target/autonomic-component-system-core-1.0-SNAPSHOT.jar!/logback.xml] is not of type file
16:41:23,311 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
16:41:23,312 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
16:41:23,320 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [STDOUT]
16:41:23,334 |-INFO in ch.qos.logback.core.joran.action.NestedComplexPropertyIA - Assuming default type [ch.qos.logback.classic.encoder.PatternLayoutEncoder] for [encoder] property
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.multiactivity.compatibility.ACSAnnotationProcessor] to ERROR
16:41:23,369 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.BuildHelper] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.events.GCMPAEventListenerImpl] to ERROR
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.controllers.monitoring.MonitoringController] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.factory.ACSFactory] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [cl.niclabs.scada.acs.component.ACSManager] to TRACE
16:41:23,370 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to INFO
16:41:23,370 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [STDOUT] to Logger[ROOT]
16:41:23,371 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
16:41:23,372 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@225d6438 - Registering current configuration as safe fallback point

SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
[INFO][main][org.mortbay.log] Logging to Logger[org.mortbay.log] via org.mortbay.log.Slf4jLog
[INFO][main][org.mortbay.log] jetty-6.1.26
[INFO][main][org.mortbay.log] Started SelectChannelConnector@0.0.0.0:34052
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamr, class org.objectweb.proactive.extensions.pamr.remoteobject.PAMRRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnp, class org.objectweb.proactive.extensions.pnp.PNPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pnps, class org.objectweb.proactive.extensions.pnpssl.PNPSslRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <pamrd, class org.objectweb.proactive.extensions.pamrd.PAMRDRemoteObjectFactorySPI$PAMRDRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp, class org.objectweb.proactive.extensions.amqp.remoteobject.AMQPRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <amqp-federation, class org.objectweb.proactive.extensions.amqp.federation.AMQPFederationRemoteObjectFactory> found
42336@tripio - [INFO oactive.remoteobject] Remote Object Factory provider <rmissl, class org.objectweb.proactive.extra.rmissl.RmiSslRemoteObjectFactory> found
42336@tripio - [INFO    communication.rmi] Detected an existing RMI Registry on port 1099
Passwords length [4]: Number of Test [1000000]: Delay in millis [100]: request,time,resp_time,avg_resp_time
1,8116,8116,8116
2,13766,5548,6832
3,18456,4590,6084
4,23183,4627,5720
5,27971,4687,5513
6,32531,4460,4782
7,37081,4450,4562
8,41735,4554,4555
9,46319,4484,4527
10,50861,4442,4478
11,55484,4523,4490
12,60081,4497,4500
13,64643,4462,4481
14,69225,4481,4481
15,73874,4549,4502
16,78424,4450,4487
17,82945,4421,4472
18,87504,4458,4471
19,91272,3668,4309
20,95114,3742,4147
21,98851,3637,3985
22,102557,3606,3822
23,106276,3618,3654
24,109969,3593,3639
25,113668,3599,3610
26,117371,3603,3603
27,121088,3616,3605
28,124788,3599,3602
29,128497,3609,3605
30,132234,3637,3612
31,135991,3657,3623
32,139725,3634,3627
33,143414,3589,3625
34,147104,3589,3621
35,150813,3609,3615
36,154504,3591,3602
37,158115,3511,3577
38,161724,3509,3561
39,165338,3514,3546
40,168953,3515,3528
41,172568,3514,3512
42,176178,3510,3512
43,179247,2968,3404
44,182532,3185,3338
45,185605,2973,3230
46,188677,2971,3121
47,191740,2962,3011
48,195574,3734,3165
49,198507,2833,3094
50,201217,2609,3021
51,204093,2776,2982
52,206759,2566,2903
53,209827,2967,2750
54,212753,2826,2748
55,215202,2349,2696
56,217660,2357,2613
57,220085,2324,2564
58,222504,2319,2435
59,224922,2318,2333
60,227330,2308,2325
61,229428,1998,2253
62,231542,2013,2191
63,233706,2063,2140
64,236538,2731,2222
65,238932,2294,2219
66,241341,2309,2282
67,243332,1890,2257
68,245397,1964,2237
69,247394,1896,2070
70,249408,1913,1994
71,251431,1923,1917
72,253404,1873,1913
73,255360,1856,1892
74,257316,1856,1884
75,259255,1839,1869
76,261213,1858,1856
77,263143,1830,1847
78,265076,1832,1843
79,267011,1834,1838
80,268933,1821,1835
81,270868,1835,1830
82,272793,1824,1829
83,274726,1833,1829
84,276669,1842,1831
85,278751,1982,1863
86,280795,1943,1884
87,282844,1949,1909
88,285092,2148,1972
89,287155,1962,1996
90,289187,1932,1986
91,290861,1574,1913
92,292564,1603,1843
93,294234,1569,1728
94,295894,1559,1647
95,297544,1550,1571
96,299196,1552,1566
97,301080,1783,1602
98,302619,1439,1576
99,304176,1456,1556
100,305794,1518,1549
101,307538,1644,1568
102,309101,1463,1504
103,310654,1452,1506
104,312215,1460,1507
105,313797,1481,1500
106,315485,1588,1488
107,317040,1454,1487
108,318764,1624,1521
109,320477,1613,1552
110,321959,1381,1532
111,323751,1692,1552
112,325519,1667,1595
113,327009,1390,1548
114,328495,1385,1503
115,329937,1341,1495
116,331334,1297,1416
117,332740,1306,1343
118,334145,1305,1326
119,335558,1313,1312
120,336964,1306,1305
121,338350,1285,1303
122,339740,1290,1299
123,341192,1351,1309
124,342606,1314,1309
125,344002,1295,1307
126,345382,1280,1306
127,346752,1270,1302
128,348114,1262,1284
129,349474,1259,1273
130,350830,1256,1265
131,352179,1249,1259
132,353549,1270,1259
133,354900,1251,1257
134,356256,1256,1256
135,357621,1265,1258
136,358993,1272,1262
137,360374,1281,1265
138,361745,1271,1269
139,363168,1323,1282
140,364658,1390,1307
141,366051,1293,1311
142,367533,1381,1331
143,369125,1492,1375
144,370515,1290,1369
145,371910,1294,1350
146,373308,1298,1351
147,374688,1280,1330
148,376132,1344,1301
149,377692,1459,1335
150,379063,1271,1330
151,380421,1258,1322
152,381783,1262,1318
153,383114,1231,1296
154,384452,1238,1252
155,385800,1248,1247
156,387143,1243,1244
157,388363,1120,1216
158,389587,1124,1194
159,390792,1105,1168
160,392005,1113,1141
161,393228,1122,1116
162,394513,1185,1129
163,395751,1138,1132
164,396970,1118,1135
165,398172,1101,1132
166,399360,1088,1126
167,400551,1091,1107
168,401759,1108,1101
169,403175,1316,1140
170,404566,1291,1178
171,405810,1144,1190
172,407192,1281,1228
173,408524,1232,1252
174,409761,1137,1217
175,411097,1236,1206
176,412293,1096,1196
177,413504,1111,1162
178,414701,1097,1135
179,415882,1081,1124
180,417070,1088,1094
181,418203,1032,1081
182,419361,1058,1071
183,420500,1039,1059
184,421658,1058,1055
185,422821,1062,1049
186,423958,1036,1050
187,425173,1115,1062
188,426314,1040,1062
189,427421,1007,1052
190,428549,1028,1045
191,429684,1035,1045
192,430871,1087,1039
193,431981,1010,1033
194,433288,1206,1073
195,434392,1004,1068
196,435491,998,1061
197,436593,1002,1044
198,437743,1050,1052
199,438858,1015,1013
200,439959,1001,1013
201,441060,1000,1013
202,442151,991,1011
203,443245,994,1000
204,444354,1008,998
205,445421,967,992
206,446485,964,984
207,447545,960,978
208,448604,958,971
209,449895,1190,1007
210,451101,1106,1035
211,452415,1214,1085
212,453487,972,1088
213,454556,968,1090
214,455624,968,1045
215,456692,968,1018
216,457753,961,967
217,458874,1021,977
218,459995,1021,987
219,461136,1041,1002
220,462276,1040,1016
221,463424,1047,1034
222,464570,1046,1039
223,465743,1073,1049
224,466914,1071,1055
225,468046,1031,1053
226,469164,1018,1047
227,470293,1029,1044
228,471423,1030,1035
229,472547,1023,1026
230,473643,996,1019
231,474589,845,984
232,475546,857,950
233,476515,869,918
234,477599,984,910
235,478701,1001,911
236,479791,990,940
237,480894,1003,969
238,482068,1074,1010
239,483259,1090,1031
240,484354,995,1030
241,485305,850,1002
242,486271,866,975
243,487208,837,927
244,488140,831,875
245,489078,838,844
246,490032,854,845
247,490972,840,840
248,491908,836,839
249,492840,832,840
250,493785,844,841
251,494725,839,838
252,495675,850,840
253,496613,838,840
254,497547,834,841
255,498486,839,840
